method,normalization,theta,rho,lambda,alpha,beta,top_alternative,top_stable,full_ranking_stable,spearman,kendall_tau,ranking,score_A1,rank_A1,score_A2,rank_A2,score_A3,rank_A3,score_A4,rank_A4,score_A5,rank_A5
generalized_inverse,max,1.0,3.0,1.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14302388011583012,4,0.7761680537743604,2,0.4879089897963738,3,0.0,5
generalized_inverse,max,1.0,3.0,1.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14302388011583012,4,0.7761680537743604,2,0.4879089897963738,3,0.0,5
generalized_inverse,max,1.0,3.0,1.0,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12117202666858459,4,0.7951368329731354,2,0.4435343082683341,3,0.0,5
generalized_inverse,max,1.0,3.0,1.0,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12117202666858459,4,0.7951368329731354,2,0.4435343082683341,3,0.0,5
generalized_inverse,max,1.0,3.0,1.0,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12117202666858459,4,0.7951368329731354,2,0.4435343082683341,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.2442546991137336,4,0.6740374023590259,2,0.6069329964723592,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.2442546991137336,4,0.6740374023590259,2,0.6069329964723592,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.2442546991137336,4,0.6740374023590259,2,0.6069329964723592,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14308839293447398,4,0.7773210722269748,2,0.48906819033254806,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14308839293447398,4,0.7773210722269748,2,0.48906819033254806,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14308839293447398,4,0.7773210722269748,2,0.48906819033254806,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12121907969443105,4,0.7957027906031887,2,0.44413490874869743,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12121907969443105,4,0.7957027906031887,2,0.44413490874869743,3,0.0,5
generalized_inverse,max,1.0,3.0,1.5,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12121907969443105,4,0.7957027906031887,2,0.44413490874869743,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24439784127280964,4,0.6795916719446803,2,0.6119369929866265,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24439784127280964,4,0.6795916719446803,2,0.6119369929866265,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.24439784127280964,4,0.6795916719446803,2,0.6119369929866265,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14313152746388058,4,0.7780920028636502,2,0.4898432544309248,3,0.0,5
generalized_inverse,max,1.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14313152746388058,4,0.7780920028636502,2,0.4898432544309248,3,0.0,5
